gene	cell	contrast	logFC	AveExpr	P.Value	adj.P.Val	sig	direction
Ifih1	Mo	PR8_100_vs_Sham	1.86417817895869	10.9444886437102	6.97016438979999e-10	5.0251117594031e-08	TRUE	up
Ifit1bl1	Mo	PR8_100_vs_Sham	4.58880525934386	8.87762830426292	1.52135975385488e-16	1.77134124999275e-13	TRUE	up
Ifit2	Mo	PR8_100_vs_Sham	3.44848758825451	11.4887941739171	9.52858775873511e-15	4.12175802915015e-12	TRUE	up
Ifit3	Mo	PR8_100_vs_Sham	1.86397709660301	12.5940520392599	7.39023905070996e-11	7.301282469544e-09	TRUE	up
Ifitm5	Mo	PR8_100_vs_Sham	-1.15889808248727	5.6414862340664	0.00169029434061378	0.0105876683343128	TRUE	down
Ifnb1	Mo	PR8_100_vs_Sham	1.74174504289492	5.63265380473513	6.68700567383436e-07	1.61183020797769e-05	TRUE	up
Ifngr1	Mo	PR8_100_vs_Sham	-1.57322872620508	8.0129713884846	6.39607867789556e-06	0.000104886515614466	TRUE	down
Ifrd2	Mo	PR8_100_vs_Sham	-1.37001569731467	6.22990575200031	0.000107480257599536	0.0011048307789856	TRUE	down
Ift140	Mo	PR8_100_vs_Sham	-1.02262571134795	8.39411627668719	3.53029096686484e-06	6.41342870881632e-05	TRUE	down
Ift172	Mo	PR8_100_vs_Sham	1.49817276159633	8.52394386591318	1.41731256728801e-07	4.62052802995163e-06	TRUE	up
Ift22	Mo	PR8_100_vs_Sham	2.48867126780316	8.36790318321649	3.70737393830186e-11	4.06414519743297e-09	TRUE	up
Igf1r	Mo	PR8_100_vs_Sham	-2.06470987136247	5.61050764988969	5.2023335424888e-07	1.3302821943855e-05	TRUE	down
Igf2bp1	Mo	PR8_100_vs_Sham	1.33366288887292	5.58092286485954	0.0029749214020642	0.0169262769427791	TRUE	up
Igf2bp2	Mo	PR8_100_vs_Sham	4.91040747934396	8.88459149926194	5.40961682966286e-16	4.81005096437522e-13	TRUE	up
Igf2bp3	Mo	PR8_100_vs_Sham	1.18101487413043	6.04258232877054	0.00631313499552408	0.0313210556737021	TRUE	up
Igf2r	Mo	PR8_100_vs_Sham	3.48328119460224	8.85541910074716	1.97239402237385e-11	2.39152775212829e-09	TRUE	up
Igfbp5	Mo	PR8_100_vs_Sham	1.40327681770898	7.5401684960068	0.000948180962513876	0.00666767851715052	TRUE	up
Igfbp6	Mo	PR8_100_vs_Sham	3.45672314088058	7.31801790243806	2.9531350330852e-11	3.37606615746633e-09	TRUE	up
Igsf9	Mo	PR8_100_vs_Sham	1.2370539794286	5.58589103823209	0.000490387870554593	0.00386633392523461	TRUE	up
Igtp	Mo	PR8_100_vs_Sham	1.90974422149052	10.8229967412094	6.55559322521335e-10	4.81294814539173e-08	TRUE	up
Iigp1	Mo	PR8_100_vs_Sham	5.16301469342322	8.65778238061177	1.06424753787612e-15	7.86420165208842e-13	TRUE	up
Iigp1b	Mo	PR8_100_vs_Sham	4.91903471000183	7.89698134289411	2.10442322601151e-15	1.24745532341905e-12	TRUE	up
Iigp1c	Mo	PR8_100_vs_Sham	3.5897830797438	6.99217196998697	1.75808798322349e-10	1.52927395619886e-08	TRUE	up
Ikbkb	Mo	PR8_100_vs_Sham	-1.06600235374472	8.66898987389422	0.000109260238618715	0.00111881645495364	TRUE	down
Ikbke	Mo	PR8_100_vs_Sham	1.42141674275947	8.54632430511989	5.35766280260479e-07	1.35894442402044e-05	TRUE	up
Il10	Mo	PR8_100_vs_Sham	3.02021877401887	6.08718667468678	1.18128910414906e-09	7.94392105542253e-08	TRUE	up
Il10rb	Mo	PR8_100_vs_Sham	1.17148929828848	9.45956041649392	1.82851784513345e-05	0.000251421203705849	TRUE	up
Il15ra	Mo	PR8_100_vs_Sham	2.59828620560586	8.05866926177085	8.26307319505896e-11	8.06405405408041e-09	TRUE	up
Il17ra	Mo	PR8_100_vs_Sham	-1.49554969620803	9.09992307097715	2.4581156964735e-07	7.23201134596662e-06	TRUE	down
Il17rd	Mo	PR8_100_vs_Sham	-1.19555710115488	5.3357959667964	0.000350589784312392	0.00293779554864913	TRUE	down
Il18	Mo	PR8_100_vs_Sham	1.33045478235453	9.23365764245166	1.35709266683279e-07	4.4784058005482e-06	TRUE	up
Il18rap	Mo	PR8_100_vs_Sham	1.15832353303113	5.63908251633846	0.00125728631989029	0.00833590205047392	TRUE	up
Il1a	Mo	PR8_100_vs_Sham	1.85339871787681	5.70546454955695	8.11620307614146e-06	0.00012731184528398	TRUE	up
Il1r1	Mo	PR8_100_vs_Sham	1.27732398452361	5.93766183195846	0.00117612976667131	0.00788603138482379	TRUE	up
Il1r2	Mo	PR8_100_vs_Sham	2.10949603369597	9.63995468681046	9.41819880033664e-11	8.97251617853499e-09	TRUE	up
Il1rn	Mo	PR8_100_vs_Sham	4.14492609016546	9.84558362090632	2.40122254789837e-17	6.40526114651889e-14	TRUE	up
Il27	Mo	PR8_100_vs_Sham	1.8252115524922	7.40457161843179	4.30758115805395e-07	1.15653551469348e-05	TRUE	up
Il2ra	Mo	PR8_100_vs_Sham	2.24897527008624	6.09187955918759	7.86526818051815e-08	2.80364403628492e-06	TRUE	up
Il2rg	Mo	PR8_100_vs_Sham	1.07207583992678	10.4271726339146	1.34155781189985e-06	2.94535429073487e-05	TRUE	up
Il31ra	Mo	PR8_100_vs_Sham	-1.30030443517343	7.43810665274237	6.77488605746202e-05	0.000751955973298749	TRUE	down
Il3ra	Mo	PR8_100_vs_Sham	1.39654626013215	7.71366320590684	6.8826731322011e-06	0.00011115760189796	TRUE	up
Il4ra	Mo	PR8_100_vs_Sham	1.8666360909116	8.75846227679373	6.30540049950427e-10	4.68784099990792e-08	TRUE	up
Il6	Mo	PR8_100_vs_Sham	1.87882592147397	10.4712096200765	3.18780982986779e-06	5.94649141340723e-05	TRUE	up
Il7r	Mo	PR8_100_vs_Sham	4.80969125448108	8.70939934583396	5.25124928359595e-15	2.47194837599862e-12	TRUE	up
Ilf3	Mo	PR8_100_vs_Sham	1.16799599903276	6.95925819928205	8.77677111265586e-05	0.000935857572671932	TRUE	up
Impa2	Mo	PR8_100_vs_Sham	-1.08965313398589	6.40146980483021	0.0058269104708813	0.0293164007651777	TRUE	down
Inhba	Mo	PR8_100_vs_Sham	2.9859146892675	6.04309021409087	1.49416525232174e-08	6.9517775765725e-07	TRUE	up
Insl6	Mo	PR8_100_vs_Sham	2.46769094417369	5.90895589398801	4.85195496816475e-08	1.86671969388165e-06	TRUE	up
Insr	Mo	PR8_100_vs_Sham	-2.41959598275738	9.07844284029927	2.58072367875196e-10	2.16253834965576e-08	TRUE	down
Ip6k3	Mo	PR8_100_vs_Sham	-1.71913048432239	8.73459883097785	2.2437083222537e-08	9.70555451288392e-07	TRUE	down
Ipmk	Mo	PR8_100_vs_Sham	-1.02131160446186	8.2313190460671	5.33858012826113e-05	0.000617369761219794	TRUE	down
Ipo7	Mo	PR8_100_vs_Sham	-1.15197099193773	7.0700449398764	0.000326387505807	0.00277715684765605	TRUE	down
Iqgap2	Mo	PR8_100_vs_Sham	-1.17180692619607	11.1671021343277	2.3881469592309e-05	0.000314069778820793	TRUE	down
Irag2	Mo	PR8_100_vs_Sham	-1.00307592550156	8.50760724034006	0.000107888868963259	0.00110760830516803	TRUE	down
Irak2	Mo	PR8_100_vs_Sham	1.23805604029067	7.83298001368311	1.18144320419187e-05	0.000175734186645826	TRUE	up
Irf1	Mo	PR8_100_vs_Sham	1.06221543244154	11.7045623344703	2.60460251505436e-06	5.06520817174302e-05	TRUE	up
Irf4	Mo	PR8_100_vs_Sham	-3.53311887284907	8.53038038577274	4.38829470766999e-12	7.02346567962581e-10	TRUE	down
Irf7	Mo	PR8_100_vs_Sham	2.55752905036702	10.9771469882792	9.02246495956887e-14	2.67415836440555e-11	TRUE	up
Irgm2	Mo	PR8_100_vs_Sham	1.30491004043673	10.7196521779855	3.1147961729979e-08	1.29151069297491e-06	TRUE	up
Isg15	Mo	PR8_100_vs_Sham	3.90317514952697	11.0467900764827	4.22979046576076e-16	4.23111227528131e-13	TRUE	up
Isg20	Mo	PR8_100_vs_Sham	3.29602125766393	10.513087132019	6.75192750466348e-14	2.20539999412528e-11	TRUE	up
Ism1	Mo	PR8_100_vs_Sham	1.64752219132999	5.56538160882794	1.31496347375147e-05	0.0001918504138322	TRUE	up
Itga10	Mo	PR8_100_vs_Sham	-1.4617255144434	5.1935662994582	9.13975291701619e-06	0.000141062435329647	TRUE	down
Itga4	Mo	PR8_100_vs_Sham	-1.59340305099727	9.02314675652297	2.18660137289238e-07	6.62813541158002e-06	TRUE	down
Itga5	Mo	PR8_100_vs_Sham	1.45660905899264	8.63538244146983	1.49161081862505e-07	4.75562373547689e-06	TRUE	up
Itga6	Mo	PR8_100_vs_Sham	2.39379924885021	6.26495530975577	7.65907883040225e-06	0.000121973688239391	TRUE	up
Itga8	Mo	PR8_100_vs_Sham	-1.14287544095915	5.26083983368546	0.000258757700135777	0.00227942222990187	TRUE	down
Itgal	Mo	PR8_100_vs_Sham	-1.46900042639271	8.24206975279989	3.20017327206426e-06	5.96260456570297e-05	TRUE	down
Itgax	Mo	PR8_100_vs_Sham	2.93692015830261	9.11754872479545	9.24799923531855e-11	8.8631274108547e-09	TRUE	up
Itpa	Mo	PR8_100_vs_Sham	1.28381477353707	8.98498452587421	7.8840221109899e-07	1.85564373362343e-05	TRUE	up
Itpkb	Mo	PR8_100_vs_Sham	1.4402603671833	6.20174743275544	0.000478902170464072	0.00379071673505315	TRUE	up
Jade1	Mo	PR8_100_vs_Sham	-2.15573286484378	7.60919217838081	7.01150189784829e-09	3.70360025990303e-07	TRUE	down
Jag1	Mo	PR8_100_vs_Sham	1.29727264480015	7.90987117491503	0.000210107767797115	0.00192598787147355	TRUE	up
Jak2	Mo	PR8_100_vs_Sham	1.62247852445902	9.13677393830064	4.95023698207422e-09	2.75099107285062e-07	TRUE	up
Jak3	Mo	PR8_100_vs_Sham	1.08567903455516	7.22211890790905	8.38310761516563e-05	0.000900480787790107	TRUE	up
Jaml	Mo	PR8_100_vs_Sham	1.80301622446744	10.3138688194989	1.0381413957228e-10	9.66014711543222e-09	TRUE	up
Jdp2	Mo	PR8_100_vs_Sham	1.12984391456939	10.5459417147173	0.000192920177594356	0.00179097808341253	TRUE	up
Josd1	Mo	PR8_100_vs_Sham	-1.15245053358736	8.00433786873331	4.36344203385705e-05	0.000516927385284102	TRUE	down
Jpt2	Mo	PR8_100_vs_Sham	1.01439175683636	6.09627705296208	0.00167169953566621	0.0104882599248678	TRUE	up
Kank3	Mo	PR8_100_vs_Sham	-1.18970603624641	6.52923052929693	0.000958992293778193	0.00672821956047958	TRUE	down
Kat6b	Mo	PR8_100_vs_Sham	-1.04242717280656	9.2256733883338	4.15965952763703e-07	1.13223385611957e-05	TRUE	down
Kcmf1	Mo	PR8_100_vs_Sham	-1.38916274798314	6.87048735132532	1.48854897328366e-05	0.000213096836470528	TRUE	down
Kcnab1	Mo	PR8_100_vs_Sham	1.92144390239161	5.9556447502044	1.70914213246348e-05	0.000237455033247204	TRUE	up
Kcne3	Mo	PR8_100_vs_Sham	-2.46019014533702	5.32855486253875	6.84650450075739e-09	3.62842067995437e-07	TRUE	down
Kcne4	Mo	PR8_100_vs_Sham	1.56423844789902	5.30630560391674	1.83194391835149e-05	0.000251676072216443	TRUE	up
