gene	slope	AveExpr	t	P.Value	adj.P.Val	B
BC016579	-0.0198613500120907	4.62674489858201	-0.524436306071272	0.606263868090979	0.848483141727538	-6.35017152763854
Rtn2	0.0238784271255407	4.64769370221916	0.524493366153975	0.606224979106613	0.848483141727538	-6.35014114666916
Gnal	-0.0533711672068835	5.1049367660682	-0.523879440809139	0.606643460003034	0.848631248421236	-6.35046785570313
Hepacam	0.0283343935671516	4.89762202790482	0.523808415882394	0.606691883021074	0.848631248421236	-6.35050562867157
Lars1	0.0299633557555008	8.71270856253608	0.523761327316075	0.606723987859355	0.848631248421236	-6.35053066890099
Mroh5	-0.0228886199869209	4.69345897355612	-0.523736589341495	0.606740854463243	0.848631248421236	-6.35054382290879
Rragd	0.0217990723393276	4.6758914439047	0.523743205275094	0.606736343629859	0.848631248421236	-6.35054030505482
Rxrb	-0.039006897971401	8.66555225077179	-0.524127604043567	0.60647428321739	0.848631248421236	-6.35033583681888
Slurp2	0.0252569114705341	4.82851605170267	0.523833845439822	0.606674545569929	0.848631248421236	-6.35049210511902
Tesc	-0.0297260920471281	4.72711768540909	-0.523532921101225	0.606879726180232	0.848751312260976	-6.35065209721685
Dlg1	-0.0452528899843914	7.71920833109562	-0.523158083391534	0.607135350457511	0.848994361185663	-6.35085126204637
Mrps33	-0.0348037949728559	9.4626610426726	-0.523057893134897	0.607203685015908	0.848994361185663	-6.35090447332047
Wdr13	-0.0462160193980579	5.482800635127	-0.523044750311211	0.607212649327853	0.848994361185663	-6.35091145277077
Cphx1	0.0351707540368331	4.68000589020102	0.522538525159739	0.607557978505426	0.849032170259264	-6.35118015240333
Dtd2	0.0254044199486162	4.75543368586704	0.522657642285603	0.607476712405197	0.849032170259264	-6.35111694883818
Gm53	0.0238826234803455	4.78500781330458	0.52263257077827	0.607493816676191	0.849032170259264	-6.3511302529448
Naxd	0.0434977191486713	7.36641260423715	0.522585927589234	0.607525638188558	0.849032170259264	-6.3511550023409
Spata16	-0.0232857848441314	4.74118454410866	-0.522841865267199	0.607351039039549	0.849032170259264	-6.35101917258006
Tbc1d22b	0.051250375261867	6.84461130563214	0.522906499314137	0.607306949919357	0.849032170259264	-6.35098486017121
Fbxl16	0.0482702148785741	5.02563062791361	0.522431265761058	0.607631159323901	0.849060302512575	-6.35123705230055
Adra1a	-0.079485928949665	5.85485768285855	-0.521698280418219	0.608131373745135	0.84968508396254	-6.35162558944797
Tmem17	0.0371021779821047	5.12458893108071	0.521382656613797	0.608346827536521	0.849911921676154	-6.35179273072195
