gene	TX91_mean	TX91_mean_threshold	pass
Zfand1	7.91953064463045	6.11716417170886	TRUE
Tpcn1	7.91907910517536	6.11716417170886	TRUE
Ssbp3	7.90574397441438	6.11716417170886	TRUE
Tceanc2	7.90225606758602	6.11716417170886	TRUE
Dusp22	7.90082196403321	6.11716417170886	TRUE
Rabgap1l	7.89852313284356	6.11716417170886	TRUE
St6gal1	7.89573689843327	6.11716417170886	TRUE
Elp1	7.89050559499784	6.11716417170886	TRUE
Kif23	7.88834423225385	6.11716417170886	TRUE
Mrpl57	7.87675728259768	6.11716417170886	TRUE
Cul5	7.87644253419107	6.11716417170886	TRUE
Glrx5	7.87594301590673	6.11716417170886	TRUE
Unc119b	7.87453149947297	6.11716417170886	TRUE
Jade1	7.85737805798198	6.11716417170886	TRUE
Ndufaf7	7.85096764947066	6.11716417170886	TRUE
Skint3	7.84359462100209	6.11716417170886	TRUE
Rfx2	7.83712688629494	6.11716417170886	TRUE
Tmem106b	7.82174448521056	6.11716417170886	TRUE
B3galnt2	7.82143414829276	6.11716417170886	TRUE
Mctp1	7.82067149663961	6.11716417170886	TRUE
Dennd2d	7.81223102370409	6.11716417170886	TRUE
Kifap3	7.79500378641234	6.11716417170886	TRUE
Bcl2l13	7.78997738374498	6.11716417170886	TRUE
Dnajc28	7.78513505574785	6.11716417170886	TRUE
Mmgt1	7.77388900002045	6.11716417170886	TRUE
Xpo7	7.74199997491423	6.11716417170886	TRUE
Klrb1f	7.73453407364605	6.11716417170886	TRUE
Dcps	7.70239871062153	6.11716417170886	TRUE
Prkab2	7.66829675377409	6.11716417170886	TRUE
Selenbp1	7.6490042726351	6.11716417170886	TRUE
Calhm2	7.64441806727541	6.11716417170886	TRUE
Itpr2	7.63315000927062	6.11716417170886	TRUE
Amigo1	7.62800214468675	6.11716417170886	TRUE
Pop5	7.62745187724413	6.11716417170886	TRUE
Tfdp2	7.6232325681332	6.11716417170886	TRUE
Eno3	7.62097953990822	6.11716417170886	TRUE
Sptlc2	7.61789340327388	6.11716417170886	TRUE
Meis1	7.61243474748275	6.11716417170886	TRUE
Orc3	7.61145207117374	6.11716417170886	TRUE
Susd3	7.60748313191912	6.11716417170886	TRUE
Pacs1	7.60710709440801	6.11716417170886	TRUE
Tdrd3	7.58539051035437	6.11716417170886	TRUE
Vkorc1	7.57444979482927	6.11716417170886	TRUE
Ramp1	7.57055336959078	6.11716417170886	TRUE
Elmo2	7.5379576313386	6.11716417170886	TRUE
Qser1	7.52799602649416	6.11716417170886	TRUE
Rala	7.52685742232689	6.11716417170886	TRUE
Csad	7.52375695272847	6.11716417170886	TRUE
Pccb	7.50085322236811	6.11716417170886	TRUE
Sdf4	7.48335886428223	6.11716417170886	TRUE
Zfp518b	7.47202528241934	6.11716417170886	TRUE
Ccdc85b	7.46919949883778	6.11716417170886	TRUE
St3gal2	7.45790088578724	6.11716417170886	TRUE
6030458C11Rik	7.45485444994974	6.11716417170886	TRUE
Zfhx2	7.45439380431919	6.11716417170886	TRUE
Kiz	7.44339615302695	6.11716417170886	TRUE
Mki67	7.43709888993114	6.11716417170886	TRUE
Man1a	7.41903381204489	6.11716417170886	TRUE
Idh1	7.4171292647983	6.11716417170886	TRUE
Arsb	7.39600948477055	6.11716417170886	TRUE
Lmf1	7.37224945798392	6.11716417170886	TRUE
Ypel2	7.35930899858079	6.11716417170886	TRUE
Pot1a	7.32023500019054	6.11716417170886	TRUE
Pkd1	7.31988167174083	6.11716417170886	TRUE
Slc4a7	7.31207012916403	6.11716417170886	TRUE
Abtb1	7.3054114978812	6.11716417170886	TRUE
Acsl3	7.29623992899908	6.11716417170886	TRUE
Nr4a2	7.28668694669701	6.11716417170886	TRUE
Ipo7	7.28655294278128	6.11716417170886	TRUE
Cyp7b1	7.26412860869755	6.11716417170886	TRUE
Rflnb	7.25714128489355	6.11716417170886	TRUE
Metap1d	7.2530200574315	6.11716417170886	TRUE
Ccdc125	7.24442290355871	6.11716417170886	TRUE
