gene	log2FC_TX91_vs_Sham	FDR_TX91_vs_Sham	already_down_in_TX91	pass_step5
Mmgt1	-0.303118279887864	0.639922113728908	FALSE	TRUE
Xpo7	-0.270985207464937	0.643525038376174	FALSE	TRUE
Bcl11a	-0.363796092355138	0.647419677538598	FALSE	TRUE
Tmem176b	-0.265979323155902	0.647955477727649	FALSE	TRUE
Cd209a	-0.321211866658656	0.649945691501702	FALSE	TRUE
Depdc7	-0.43475438963862	0.650731928318195	FALSE	TRUE
Patz1	-0.369105719937602	0.650731928318195	FALSE	TRUE
Sdad1	-0.241427526223289	0.650731928318195	FALSE	TRUE
Nr4a1	-0.233587512181106	0.653595647769122	FALSE	TRUE
Abca7	-0.277573774157581	0.654095732513194	FALSE	TRUE
Adrb2	-0.334997162967547	0.655917952065011	FALSE	TRUE
Pank1	-0.429228245240868	0.658176932484408	FALSE	TRUE
Mettl21a	-0.201135091230769	0.661650189299854	FALSE	TRUE
Rap1gap2	-0.221320908438265	0.665013322930674	FALSE	TRUE
Vps13c	-0.266718317394556	0.665013322930674	FALSE	TRUE
Pglyrp1	-0.501625086407905	0.665261682060211	FALSE	TRUE
Stk16	-0.415588335924231	0.665261682060211	FALSE	TRUE
Niban1	-0.258673235199106	0.665408802997862	FALSE	TRUE
Cd300lg	-0.457080589282691	0.665983136250881	FALSE	TRUE
Tcea3	-0.339869341861027	0.666944636345816	FALSE	TRUE
Hsd17b4	-0.245184998524687	0.66903658060215	FALSE	TRUE
Fam174c	-0.339258463272318	0.680723828412555	FALSE	TRUE
Sun1	-0.267710829013392	0.680723828412555	FALSE	TRUE
Upb1	-0.386521183409124	0.680723828412555	FALSE	TRUE
Il16	-0.168119926879761	0.690261303020215	FALSE	TRUE
Vcl	-0.216689686547369	0.690261303020215	FALSE	TRUE
Susd3	-0.310490592116153	0.695339709041479	FALSE	TRUE
Nfe2	-0.32691020555917	0.696583712084892	FALSE	TRUE
Rala	-0.289934752834085	0.699978120604625	FALSE	TRUE
Degs1	-0.164662490860881	0.700002485913444	FALSE	TRUE
Ripor2	0.325268035952782	0.70006101408061	FALSE	TRUE
Pkd1	-0.30716586244494	0.70060803920306	FALSE	TRUE
Septin9	-0.251805050350212	0.70060803920306	FALSE	TRUE
Mllt3	0.227646134137141	0.701701353598774	FALSE	TRUE
AI467606	-0.238414719341819	0.70208845644788	FALSE	TRUE
Ramp1	-0.364396878630652	0.704169278983356	FALSE	TRUE
Ugt1a2	0.19311725338177	0.704169278983356	FALSE	TRUE
Ap3m1	-0.221589121256187	0.705456965989237	FALSE	TRUE
Rarg	-0.231721948648197	0.706253975451894	FALSE	TRUE
Ddx17	-0.186029389141764	0.710982778813567	FALSE	TRUE
Gapt	-0.325571941156781	0.710982778813567	FALSE	TRUE
Stat5a	-0.181338829556287	0.711746455381635	FALSE	TRUE
Lmbrd1	-0.290780751236202	0.712174272434604	FALSE	TRUE
Cfhr4	-0.372939488215048	0.713921843484258	FALSE	TRUE
Arhgef1	-0.261941356753287	0.71761209774309	FALSE	TRUE
Cnksr3	-0.275164279905106	0.71761209774309	FALSE	TRUE
Csgalnact2	-0.244009237132394	0.71761209774309	FALSE	TRUE
Atp1a3	-0.384311824133653	0.717676195261185	FALSE	TRUE
Pnpla1	0.352450858476731	0.719020846699108	FALSE	TRUE
Mcemp1	0.277033615040041	0.720814214218131	FALSE	TRUE
Emilin2	-0.205961572434925	0.721003121215271	FALSE	TRUE
Arid3a	-0.196933016400337	0.721971148149739	FALSE	TRUE
Cyb5r1	-0.181970658557574	0.721998816143618	FALSE	TRUE
Gemin2	0.21737382466775	0.726493393441269	FALSE	TRUE
Sgsh	-0.391937980256213	0.727319963104555	FALSE	TRUE
Tbc1d5	-0.236893365494762	0.727479980370988	FALSE	TRUE
Mob3b	-0.288969401026183	0.731776676838293	FALSE	TRUE
Cytip	-0.212241531375543	0.733945942080572	FALSE	TRUE
Cdc42se1	-0.193242172255403	0.734115692004822	FALSE	TRUE
Rras	-0.240470238020665	0.738749847278625	FALSE	TRUE
Map4k4	-0.218062231370686	0.739947161259618	FALSE	TRUE
Dgkg	-0.36720705408587	0.740435850553054	FALSE	TRUE
Satb2	-0.332801900341751	0.740959336407353	FALSE	TRUE
Tlnrd1	0.247873559606107	0.74471326516503	FALSE	TRUE
Abcd1	-0.185996657267001	0.744753959468098	FALSE	TRUE
Slc26a6	-0.312673497966353	0.748499940904106	FALSE	TRUE
Ap2a2	-0.205384902544726	0.749036685017609	FALSE	TRUE
Slc44a2	0.148131587932102	0.749451409648803	FALSE	TRUE
Cul5	-0.214560570581432	0.751109943647283	FALSE	TRUE
Hdlbp	-0.176096364603161	0.751158143415731	FALSE	TRUE
St3gal2	-0.269609461333836	0.751459348985209	FALSE	TRUE
B3galnt2	-0.21193746507687	0.751895079145084	FALSE	TRUE
Cd2ap	-0.214660850850112	0.751895079145084	FALSE	TRUE
Tns4	-0.272767780114132	0.753386435689555	FALSE	TRUE
Zcchc24	-0.131992601858796	0.753494544250914	FALSE	TRUE
Timm21	-0.159625582150682	0.757977029070953	FALSE	TRUE
Glrx5	0.228605131995112	0.758686765246007	FALSE	TRUE
Mrpl57	-0.270443371594021	0.759848880087738	FALSE	TRUE
Pfkfb4	-0.172392328938493	0.760041027340745	FALSE	TRUE
Gramd4	-0.215538334706714	0.76070692153328	FALSE	TRUE
Opn1sw	0.197126956233546	0.76070692153328	FALSE	TRUE
Rfx2	-0.41215875305619	0.765807247943758	FALSE	TRUE
S1pr5	-0.274160970234558	0.767450777428116	FALSE	TRUE
Lamtor4	-0.174839722639685	0.769370102260382	FALSE	TRUE
Atg9a	-0.176444974373718	0.770585410180557	FALSE	TRUE
Man1a	-0.264863318731448	0.770585410180557	FALSE	TRUE
Nemp2	-0.130420169058308	0.770585410180557	FALSE	TRUE
Smpdl3a	-0.16668476561993	0.772343419963225	FALSE	TRUE
Hspa4l	0.188863123299022	0.776123250991536	FALSE	TRUE
Qdpr	-0.173242924961558	0.777169758092862	FALSE	TRUE
Asap1	-0.191035362516489	0.777822847362599	FALSE	TRUE
D2hgdh	-0.135690363954687	0.784625498047023	FALSE	TRUE
Prps2	-0.19771019435132	0.78704692720699	FALSE	TRUE
Pcmt1	-0.144874986002213	0.78767320189979	FALSE	TRUE
Ebpl	-0.18486139367077	0.791444793257303	FALSE	TRUE
Scgb1a1	-0.314587327734129	0.791531747088769	FALSE	TRUE
Tacc1	-0.142254219008564	0.79217475604258	FALSE	TRUE
Klhl2	0.217771735906103	0.794060866759837	FALSE	TRUE
Meis1	-0.244390086681278	0.796067312975535	FALSE	TRUE
Hspa1a	0.353536919050814	0.799980179102407	FALSE	TRUE
Reep5	-0.132095435067111	0.799980179102407	FALSE	TRUE
Arhgef37	-0.206352206228303	0.800191883513691	FALSE	TRUE
