Term	Ont	N	DE	P.DE	FDR	ratio
GO:2000849	regulation of glucocorticoid secretion	BP	4	3	0.00555869281139772	0.41139546234213	0.75
GO:0007198	adenylate cyclase-inhibiting serotonin receptor signaling pathway	BP	4	3	0.00555869281139772	0.41139546234213	0.75
GO:0032224	positive regulation of synaptic transmission, cholinergic	BP	4	3	0.00555869281139772	0.41139546234213	0.75
GO:0033684	regulation of luteinizing hormone secretion	BP	4	3	0.00555869281139772	0.41139546234213	0.75
GO:0007320	insemination	BP	4	3	0.00555869281139772	0.41139546234213	0.75
GO:0030070	insulin processing	BP	4	3	0.00555869281139772	0.41139546234213	0.75
GO:0002118	aggressive behavior	BP	4	3	0.00555869281139772	0.41139546234213	0.75
GO:0006222	UMP biosynthetic process	BP	4	3	0.00555869281139772	0.41139546234213	0.75
GO:0046049	UMP metabolic process	BP	4	3	0.00555869281139772	0.41139546234213	0.75
GO:0098898	dense core granule lumen	CC	4	3	0.00555869281139772	0.41139546234213	0.75
GO:0099013	neuronal dense core vesicle lumen	CC	4	3	0.00555869281139772	0.41139546234213	0.75
GO:0039706	co-receptor binding	MF	4	3	0.00555869281139772	0.41139546234213	0.75
GO:0051588	regulation of neurotransmitter transport	BP	47	12	0.00564495988798892	0.415827792870361	0.25531914893617
GO:0008306	associative learning	BP	53	13	0.00582891116560982	0.427381188905456	0.245283018867925
GO:0097305	response to alcohol	BP	84	18	0.00613022550023176	0.44739293882247	0.214285714285714
GO:0097009	energy homeostasis	BP	31	9	0.00650881652863197	0.472834026531587	0.290322580645161
GO:0015872	dopamine transport	BP	16	6	0.00658511868695676	0.474008269320486	0.375
GO:0007616	long-term memory	BP	16	6	0.00658511868695676	0.474008269320486	0.375
GO:0051963	regulation of synapse assembly	BP	72	16	0.00661744119687808	0.474169741034482	0.222222222222222
GO:0007613	memory	BP	60	14	0.0068927340891571	0.491660905798518	0.233333333333333
GO:0019098	reproductive behavior	BP	21	7	0.00706304661215806	0.501539940513782	0.333333333333333
GO:0006836	neurotransmitter transport	BP	92	19	0.00747883508455492	0.527170932662716	0.206521739130435
GO:0008021	synaptic vesicle	CC	112	22	0.00773111408310464	0.527170932662716	0.196428571428571
GO:0022843	voltage-gated monoatomic cation channel activity	MF	43	11	0.00780151979516728	0.527170932662716	0.255813953488372
GO:0055082	intracellular chemical homeostasis	BP	195	34	0.00783421753019318	0.527170932662716	0.174358974358974
GO:0046717	acid secretion	BP	12	5	0.00788689734651324	0.527170932662716	0.416666666666667
GO:0014046	dopamine secretion	BP	12	5	0.00788689734651324	0.527170932662716	0.416666666666667
GO:0014059	regulation of dopamine secretion	BP	12	5	0.00788689734651324	0.527170932662716	0.416666666666667
GO:0007214	gamma-aminobutyric acid signaling pathway	BP	12	5	0.00788689734651324	0.527170932662716	0.416666666666667
GO:0015012	heparan sulfate proteoglycan biosynthetic process	BP	12	5	0.00788689734651324	0.527170932662716	0.416666666666667
