"ENTREZID","SYMBOL","GENENAME","baseMean","log2FC_shrink","lfcSE","pvalue","FDR","log2FC_raw","pvalue_raw"
"68147","Gar1","GAR1 ribonucleoprotein",199.556160560883,-0.164798284278762,0.182960343517217,0.0904016826506278,0.426484341972405,0.433555231330378,0.0904016826506278
"66964","Golt1b","golgi transport 1B",564.615124241913,-0.152014163426432,0.089750874458558,0.0903333834795458,0.426484341972405,-0.160261372056759,0.0903333834795458
"101869","Unc45a","unc-45 myosin chaperone A",464.668881318614,-0.335192760327115,0.198407172173588,0.090528092993923,0.426771417706284,-0.553939241272953,0.090528092993923
"93761","Smarca1","SNF2 related chromatin remodeling ATPase 1",967.163132729847,0.342345450162709,0.202193763819421,0.0905990973047299,0.426777550665219,0.626836569551959,0.0905990973047299
"78373","Nudt17","nudix hydrolase 17",103.305524206925,-0.34181196538406,0.202530635447398,0.0906108296731015,0.426777550665219,-0.640020318114978,0.0906108296731015
"74241","Chpf","chondroitin polymerizing factor",881.510502453603,-0.341407099186162,0.202501393678617,0.0905915791339631,0.426777550665219,-0.638519743268175,0.0905915791339631
"53374","Chst3","carbohydrate sulfotransferase 3",115.121543430018,0.342790511674239,0.202699687222822,0.0907843097507445,0.426800046106753,0.647732190372816,0.0907843097507445
"94221","Gopc","golgi associated PDZ and coiled-coil motif containing",1534.19416624274,0.340087206603877,0.200932370689698,0.0907427905530609,0.426800046106753,0.594173102898756,0.0907427905530609
"101831","Faap24","Fanconi anemia core complex associated protein 24",49.4602077234098,-0.322248736477649,0.190270596779732,0.0906451270971531,0.426800046106753,-0.477611909447016,0.0906451270971531
"18759","Prkci","protein kinase C, iota",104.644018617013,-0.306662588852217,0.181330908114802,0.090783909182248,0.426800046106753,-0.423145695975088,0.090783909182248
"22323","Vasp","vasodilator-stimulated phosphoprotein",579.824478998815,-0.30349977042284,0.179478496978324,0.090685912890315,0.426800046106753,-0.413799604833238,0.090685912890315
"69757","Leng1","leukocyte receptor cluster (LRC) member 1",204.270488293941,-0.278841715302646,0.164903328942653,0.0908428591549879,0.426800046106753,-0.352241927973255,0.0908428591549879
"57349","Ppbp","pro-platelet basic protein",7.92576239819365,0.252844056384807,0.153493257380609,0.0908289554656442,0.426800046106753,1.51288409047776,0.0908289554656442
"71828","Gtf2a1l","general transcription factor IIA, 1-like",4.06234034290346,0.240424239987308,0.149723202304937,0.0908599258567168,0.426800046106753,1.58188888981359,0.0908599258567168
"14012","Mpzl2","myelin protein zero-like 2",23.0474397998151,0.218398275445285,0.13707880666504,0.0908266801122545,0.426800046106753,1.77212318896006,0.0908266801122545
"26938","St6galnac5","ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5",64.6699893435671,0.341829110474852,0.202318346975225,0.091103637529106,0.426826730873339,0.630404812928975,0.091103637529106
"19821","Rnf2","ring finger protein 2",371.892349492653,0.341697176319472,0.202180274144169,0.0911125184515442,0.426826730873339,0.625405940792635,0.0911125184515442
"67836","Wdr83","WD repeat domain containing 83",171.791082255279,-0.339976064028057,0.201683259228725,0.0910388960380676,0.426826730873339,-0.611073864402097,0.0910388960380676
"217125","Samd14","sterile alpha motif domain containing 14",3547.66636133886,-0.336232309008319,0.199400195630482,0.0909855214919826,0.426826730873339,-0.567042398691992,0.0909855214919826
"75316","Taf1d","TATA-box binding protein associated factor, RNA polymerase I, D",356.284291518703,0.297748083879931,0.176220419635476,0.091092977831823,0.426826730873339,0.397859534681737,0.091092977831823
"18777","Lypla1","lysophospholipase 1",85.2692092993456,-0.296386482379055,0.175267437235945,0.0909076274859624,0.426826730873339,-0.393938259417071,0.0909076274859624
"17347","Mknk2","MAP kinase-interacting serine/threonine kinase 2",202.402513766777,-0.277767092653397,0.164376030439121,0.0911207627923355,0.426826730873339,-0.35001853527112,0.0911207627923355
"16341","Eif3e","eukaryotic translation initiation factor 3, subunit E",911.922965127707,0.242346409216304,0.143446210559267,0.0911370904173642,0.426826730873339,0.283814005694563,0.0911370904173642
"53415","Htatip2","HIV-1 Tat interactive protein 2",1435.86367830828,-0.231600400410475,0.137073648321331,0.0910897765912063,0.426826730873339,-0.266566766956047,0.0910897765912063
"66902","Mtap","methylthioadenosine phosphorylase",445.951894499107,0.208084588261036,0.123126358431037,0.0910117213909808,0.426826730873339,0.231836768797737,0.0910117213909808
"99512","Wdr47","WD repeat domain 47",330.192799945601,-0.341122812792564,0.203032172787538,0.091278132593907,0.426851517144975,-0.694986313559246,0.091278132593907
"20280","Scp2","sterol carrier protein 2, liver",1440.56804382283,0.338293810384084,0.20044937097637,0.0912603973222646,0.426851517144975,0.805554908040337,0.0912603973222646
"104806","Fancm","Fanconi anemia, complementation group M",92.9953750786195,0.320592829533519,0.18995418967516,0.0912258782558764,0.426851517144975,0.474184481082356,0.0912258782558764
"72395","2610028E06Rik","RIKEN cDNA 2610028E06 gene",5.006481951483,0.30743326921129,0.186441546743289,0.0912700757645141,0.426851517144975,1.05150821842449,0.0912700757645141
"242418","Dcaf10","DDB1 and CUL4 associated factor 10",431.88942648349,0.290210254899938,0.171839693587995,0.0912688723953991,0.426851517144975,0.378668421283924,0.0912688723953991
"66491","Polr2l","polymerase (RNA) II (DNA directed) polypeptide L",113.791272795459,-0.340636303226908,0.202358381065382,0.0914426174150029,0.427152616594348,-0.631326185685451,0.0914426174150029
"24067","Srp54a","signal recognition particle 54A",9.21799830777972,-0.339451694424497,0.201050182617887,0.091505534454253,0.427152616594348,-0.794054734156882,0.091505534454253
"22785","Slc30a4","solute carrier family 30 (zinc transporter), member 4",412.412120570569,0.33884126018233,0.200689429290901,0.091444501904492,0.427152616594348,0.588076144141565,0.091444501904492
"56739","Rec8","REC8 meiotic recombination protein",11.5716498182253,0.306506901432209,0.181300507337945,0.09139838979468,0.427152616594348,0.422459222635359,0.09139838979468
"50876","Tmod2","tropomodulin 2",2729.41399132371,-0.266590658617219,0.157988619112607,0.0914666912086992,0.427152616594348,-0.327535691445878,0.0914666912086992
"11758","Prdx6","peroxiredoxin 6",2752.28951371842,0.253589738740817,0.150250383088044,0.0914842450352204,0.427152616594348,0.303191706173546,0.0914842450352204
"338467","Morc3","microrchidia 3",739.463239386989,0.34248014780565,0.203004719836694,0.0916613510657448,0.427341100152206,0.699578543383408,0.0916613510657448
"11668","Aldh1a1","aldehyde dehydrogenase family 1, subfamily A1",412.349709481212,0.342254715639778,0.202919316622309,0.0917089983407674,0.427341100152206,0.709911184586013,0.0917089983407674
"329506","Ctdspl2","CTD small phosphatase like 2",126.294572280779,0.340878540035913,0.202198968489889,0.0917071058775261,0.427341100152206,0.624945852671907,0.0917071058775261
"12905","Cradd","CASP2 and RIPK1 domain containing adaptor with death domain",155.891832501124,-0.295912429480924,0.175440365735965,0.0916955430393196,0.427341100152206,-0.393683714245126,0.0916955430393196
"66454","Nmnat1","nicotinamide nucleotide adenylyltransferase 1",22.7236156283376,-0.260504571863098,0.154264233112464,0.0916147114016088,0.427341100152206,-0.31579402272725,0.0916147114016088
"240087","Mdc1","mediator of DNA damage checkpoint 1",159.314448322053,0.207819273871756,0.12326114739757,0.091704197315682,0.427341100152206,0.231659501132961,0.091704197315682
"17342","Mitf","melanogenesis associated transcription factor",91.3126556400852,0.341326169922575,0.202740402887558,0.091918243044036,0.427917817574099,0.723479773944459,0.091918243044036
"80284","Smim12","small integral membrane protein 12",903.538674682618,-0.31987788970876,0.190000219118777,0.0919416351459934,0.427917817574099,-0.4734333505126,0.0919416351459934
"75758","9130401M01Rik","RIKEN cDNA 9130401M01 gene",384.75057368637,-0.31903025862059,0.189411185531755,0.0918649122670384,0.427917817574099,-0.469463987734577,0.0918649122670384
"12850","Coq7","demethyl-Q 7",918.837642495906,0.173315794173363,0.102841971592341,0.0919369725788145,0.427917817574099,0.18613610466558,0.0919369725788145
"14687","Gnaz","guanine nucleotide binding protein, alpha z subunit",469.50983524828,-0.338810148440282,0.202527826275922,0.0921957109790554,0.428263179256376,-0.734817228335236,0.0921957109790554
"57785","Rangrf","RAN guanine nucleotide release factor",21.9149608898788,-0.332745815165155,0.19869259149816,0.092159321905072,0.428263179256376,-0.845214139025322,0.092159321905072
"81630","Zbtb22","zinc finger and BTB domain containing 22",362.654633486755,-0.301388077067014,0.178991511726335,0.0920955665843104,0.428263179256376,-0.409640742910688,0.0920955665843104
"11861","Arl4a","ADP-ribosylation factor-like 4A",930.986080626739,0.266397432634758,0.15819062397399,0.0921921715177363,0.428263179256376,0.327468827436499,0.0921921715177363
"83671","Sytl2","synaptotagmin-like 2",697.258428627849,0.261210567607255,0.155125028226761,0.0922268179866392,0.428263179256376,0.317514762239997,0.0922268179866392
"69900","Mfsd11","major facilitator superfamily domain containing 11",1442.7779949717,0.257617079245457,0.152938771164089,0.092122561169926,0.428263179256376,0.310771673362147,0.092122561169926
"242553","Kank4","KN motif and ankyrin repeat domains 4",503.559820275693,0.210097687326411,0.124733857694781,0.0921103208537072,0.428263179256376,0.234867473760083,0.0921103208537072
"52822","Rufy3","RUN and FYVE domain containing 3",9394.30097436968,0.162486767620203,0.0965034538487313,0.0922337568351411,0.428263179256376,0.172871903339245,0.0922337568351411
"320593","A230051N06Rik","RIKEN cDNA A230051N06 gene",5.91316024481387,-0.340395839019148,0.201191537956212,0.0924905370102651,0.428443200611487,-0.602027377542057,0.0924905370102651
"75570","Nhej1","non-homologous end joining factor 1",24.1411115953086,-0.329101573594016,0.195101123536539,0.0923601167803748,0.428443200611487,-0.515152356011251,0.0923601167803748
"320817","Atad2b","ATPase family, AAA domain containing 2B",292.332318125158,0.31922890667719,0.189692873872978,0.0924344449958768,0.428443200611487,0.470560265231456,0.0924344449958768
"80909","Castor2","cytosolic arginine sensor for mTORC1 subunit 2",311.349103752708,-0.314795959983207,0.187223064522936,0.0924881709763572,0.428443200611487,-0.454230551560379,0.0924881709763572
"26398","Map2k4","mitogen-activated protein kinase kinase 4",4033.96935520835,0.310697221938184,0.184510952908603,0.0923313073689814,0.428443200611487,0.438214092145969,0.0923313073689814
"234549","Heatr3","HEAT repeat containing 3",370.527845092199,0.296165101530024,0.175974367187885,0.0923890714496905,0.428443200611487,0.395163220787085,0.0923890714496905
"70153","Qng1","Q-nucleotide N-glycosylase 1",385.5869278068,-0.265252537269711,0.157646556891309,0.0924406170773076,0.428443200611487,-0.325450259091335,0.0924406170773076
"231287","Atp10d","ATPase, class V, type 10D",60.5840322133958,0.260888063770703,0.155056677794942,0.0923716051977973,0.428443200611487,0.317167849444429,0.0923716051977973
"77125","Il33","interleukin 33",29.0428007915363,0.335141660264069,0.199830329620543,0.0925471028797838,0.42848927935574,0.818001937949991,0.0925471028797838
"67729","Mansc1","MANSC domain containing 1",24.1174859366413,0.255310807378372,0.151836431484059,0.0925549925386143,0.42848927935574,0.30702921972947,0.0925549925386143
"18783","Pla2g4a","phospholipase A2, group IVA (cytosolic, calcium-dependent)",16.1981251630308,0.319672445934003,0.192388026282328,0.0926697912767021,0.428523798261711,0.953206235549935,0.0926697912767021
"237542","Osbpl8","oxysterol binding protein-like 8",1057.09710096454,0.284148164519271,0.168978819133903,0.0926987303070907,0.428523798261711,0.365539670909277,0.0926987303070907
"72649","Tmem209","transmembrane protein 209",410.523515939163,0.279712755067958,0.166362041341783,0.0926859610773671,0.428523798261711,0.355577867756188,0.0926859610773671
"66311","Cenpw","centromere protein W",41.2339188246432,0.247211728803172,0.147159264989344,0.0926190471568472,0.428523798261711,0.29306575678887,0.0926190471568472
"16337","Insr","insulin receptor",590.146305959723,0.228967355858165,0.136169821250917,0.092646912163834,0.428523798261711,0.262926678955305,0.092646912163834
"56284","Mrpl19","mitochondrial ribosomal protein L19",673.27878462242,-0.13788970497324,0.0820431944147227,0.0928295373894002,0.429002347688463,-0.144028608057602,0.0928295373894002
"21898","Tlr4","toll-like receptor 4",49.2404559160841,0.336816780045974,0.200860084676597,0.0929167226672585,0.429152971144136,0.791220463310842,0.0929167226672585
"18029","Nfic","nuclear factor I/C",1480.48173869833,-0.283261751497756,0.168631002522626,0.092906384945581,0.429152971144136,-0.363960861942221,0.092906384945581
"66707","Nkapl","NFKB activating protein-like",18.5861593981694,0.307697557357492,0.183530458611208,0.0929933544116687,0.429217648519609,0.432072129505795,0.0929933544116687
"326622","Upf2","UPF2 regulator of nonsense transcripts homolog (yeast)",554.826023833841,0.260669198988547,0.155179105295309,0.0929986529674887,0.429217648519609,0.316935821691049,0.0929986529674887
"66948","Acad8","acyl-Coenzyme A dehydrogenase family, member 8",421.064824687818,0.160813638470522,0.0957429342956341,0.0930126274332978,0.429217648519609,0.170916591348334,0.0930126274332978
"68626","Elac2","elaC ribonuclease Z 2",134.164405786746,-0.339163704557958,0.202963818538237,0.0930959206854317,0.4293499750708,-0.702371197812929,0.0930959206854317
"272359","Irf2bp1","interferon regulatory factor 2 binding protein 1",247.442934993767,-0.314676641497169,0.187479473574941,0.0930877415794976,0.4293499750708,-0.455022939199052,0.0930877415794976
"234371","Tmem161a","transmembrane protein 161A",1026.82423026229,0.339022660998298,0.202004954500468,0.0932365544720155,0.429872466102354,0.754630393976299,0.0932365544720155
"224250","Cldnd1","claudin domain containing 1",678.989470714571,-0.183542057065107,0.109361154984432,0.0933006688280726,0.43004195699647,-0.199219533230176,0.0933006688280726
"59008","Anapc5","anaphase-promoting complex subunit 5",2553.07686294097,-0.325656014276225,0.194351030203648,0.0933338467277243,0.4300687978468,-0.505813897189576,0.0933338467277243
"272009","Srsf12","serine and arginine-rich splicing factor 12",500.04093373739,0.339869359180603,0.202741382375358,0.0936846690686563,0.430069045174123,0.719365159460777,0.0936846690686563
"73852","D3Ertd751e","DNA segment, Chr 3, ERATO Doi 751, expressed",210.815990393887,0.32860502496927,0.195810904204619,0.093382579836552,0.430069045174123,0.519602599533412,0.093382579836552
"16529","Kcnk5","potassium channel, subfamily K, member 5",30.6397414207174,-0.326898729677227,0.194639623962084,0.0935719397019356,0.430069045174123,-0.508736821819981,0.0935719397019356
"13036","Ctsh","cathepsin H",26.203862303394,0.322170585337284,0.191925194543184,0.0935082268226747,0.430069045174123,0.485541495949191,0.0935082268226747
"12351","Car4","carbonic anhydrase 4",43.8864734710832,-0.318193080037056,0.192549080421247,0.0936718377865783,0.430069045174123,-0.947108741078072,0.0936718377865783
"13840","Epha6","Eph receptor A6",19.8416821108695,-0.308604840826253,0.183730834469943,0.093624600144987,0.430069045174123,-0.432934053818465,0.093624600144987
