probe_id	colleague_log2FC	colleague_padj	ours_log2FC	ours_padj	status
ILMN_1212966	2.77583838418627	0.834540291442405	-0.421119777532283	0.210526590987335	ns
ILMN_1212967	0.773491509726933	0.894344922231745	-0.0104140898388874	0.988922917347135	ns
ILMN_1212974	2.04226573528111	0.834540291442405	-0.187282419167941	0.735667127544498	ns
ILMN_1212975	0	NA	-0.288267021283019	0.313326119259204	ns
ILMN_1212977	-0.337628684238882	0.924200122236877	0.0833932408215592	0.84189916581797	ns
ILMN_1212982	3.34513548879562	0.834540291442405	-0.640680586682652	0.0329449014053042	ns
ILMN_1212989	0	NA	0.279316690201048	0.376499681813567	ns
ILMN_1212991	-1.5849623656849	0.834540291442405	0.273636504530889	0.530187621130694	ns
ILMN_1212992	2.41503740222153	0.834540291442405	-0.584545545729707	0.158969799421356	ns
ILMN_1212993	-0.92599939936686	0.834540291442405	0.369693245989059	0.499497382353688	ns
ILMN_1212997	1.39775923950733	0.834540291442405	-0.323330657043069	0.393003579588	ns
ILMN_1212998	0	NA	-0.517117184861171	0.0626366981501755	ns
ILMN_1213001	21.7639540413453	0.834540291442405	-1.92808483987199	8.14825826082709e-06	仅我们认为是DEG
ILMN_1213010	0.769905286403604	0.834540291442405	-0.154664073116307	0.413941032556342	ns
ILMN_1213014	-0.304854675335111	0.966837514298002	0.167010489621751	0.86231826176466	ns
ILMN_1213020	0	NA	1.63517355788338	1.5027410458356e-06	ns
ILMN_1213026	0	NA	-1.13069263517639	8.65898063451106e-05	ns
ILMN_1213030	3.3219277302895	0.834540291442405	-0.634872987391996	0.169068646033778	ns
ILMN_1213034	0	NA	-0.296173496113194	0.433090639333218	ns
ILMN_1213036	-0.111487901148543	0.992114765882552	-0.0875592056311838	0.850280280746257	ns
ILMN_1213044	2.26924791881101	0.834540291442405	-0.184415948991869	0.717502417331791	ns
ILMN_1213045	2.51937400767504	0.834540291442405	-0.413778118702973	0.470583490283412	ns
ILMN_1213052	0.0338676991087365	1	0.111319575845549	0.761888458235298	ns
ILMN_1213053	3.83920359759409	0.834540291442405	-0.819087940962557	0.0612402357119608	ns
ILMN_1213055	0	NA	-0.936132043058932	0.00283430444742334	ns
ILMN_1213065	1.30454602598351	0.834540291442405	-0.400688323557336	0.257595412403824	ns
ILMN_1213068	5.04439410299042	0.834540291442405	-1.38486833308411	0.00323801790340691	仅我们认为是DEG
ILMN_1213070	0.584962478215113	0.834540291442405	0.0890349346900372	0.879212544922151	ns
ILMN_1213072	0.736965598167281	0.900609121851717	-0.112742036658136	0.876676165196876	ns
ILMN_1213074	9.317412414597	0.834540291442405	-2.09681795879457	0.000508273344618371	仅我们认为是DEG
ILMN_1213086	-0.685684891217442	0.900504921867477	-0.0395603982502566	0.945608073455991	ns
ILMN_1213090	-1.28141282812552	0.834540291442405	0.414949123969381	0.366922985186364	ns
ILMN_1213101	-0.77051828446249	0.834540291442405	0.392525319543435	0.390609308329889	ns
ILMN_1213103	0	NA	-0.849260980885765	0.00108466603574125	ns
ILMN_1213110	-0.607123927191741	0.842772034164002	0.385161271168396	0.293278537623196	ns
ILMN_1213114	1.29322117296319	0.834540291442405	-0.159802526075465	0.614990647918546	ns
ILMN_1213116	0.828478296871169	0.834540291442405	-0.259930127921116	0.619173527918239	ns
ILMN_1213117	0.736965691392312	0.928381018920961	0.131926762854978	0.86497745241761	ns
ILMN_1213121	0.638733558686508	0.888152367694244	-0.0256330458973713	0.964446609875796	ns
ILMN_1213122	0	NA	0.115331022674356	0.748982829224349	ns
ILMN_1213124	-1.75602399992011	0.834540291442405	0.510154681537358	0.062519967522561	ns
ILMN_1213128	0.0890052064181162	0.991620218864701	-0.123623213351697	0.721706714758036	ns
ILMN_1213136	0.693534963414179	0.869218477559925	-0.0995327858484094	0.73679082326377	ns
ILMN_1213138	-0.538355279938395	0.8829539592506	0.00343293788881205	0.995495920546214	ns
ILMN_1213139	2.14684145835292	0.834540291442405	-0.547474955569631	0.0699770528427388	ns
ILMN_1213141	-0.26343565629321	0.961870453771376	-0.0562635004719025	0.903649573761202	ns
ILMN_1213144	0	NA	0.193437309143018	0.582701246451424	ns
ILMN_1213147	0.564989486649795	0.834540291442405	-0.0834330775507173	0.663887606999573	ns
ILMN_1213148	1.76347994896449	0.834540291442405	-0.357201515820453	0.446423177644322	ns
ILMN_1213149	0	NA	-0.714754442516966	0.026619321690096	ns
ILMN_1213156	-1.07932217778565	0.834540291442405	0.403793107235954	0.324300804762203	ns
ILMN_1213160	-0.109559878371431	0.974537564449448	0.0519696598555397	0.837924925789615	ns
ILMN_1213161	-0.999999851701273	0.875634067483883	0.191639605146709	0.744616692872548	ns
ILMN_1213162	-0.0835232674938893	0.999826707913607	-0.276749904931775	0.580042678031974	ns
ILMN_1213167	-21.7639540413453	0.834540291442405	-0.108722460149996	0.841394275787254	ns
